,,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted
Black Hawk,CF W3 P1,0,0.404,0.0,0.606,0,0.0,0.606,0,0.404,0.0,0.0,0.0,0.0,0.0
Black Hawk,CF W3 P2,0,0.404,0.0,0.808,0,0.0,0.606,0,0.606,0.0,0.404,0.0,0.0,0.0
Black Hawk,CF W3 P3,0,0.0,0.0,0.404,0,0.0,0.404,0,0.606,0.0,0.404,0.0,0.0,0.0
Black Hawk,CF W4 P1,0,0.0,0.0,0.606,0,0.0,0.404,0,1.01,0.0,0.606,0.0,0.0,0.0
Black Hawk,CF W4 P2,0,0.0,0.0,0.404,0,0.0,0.0,0,0.808,0.0,0.808,0.0,0.0,0.0
Black Hawk,CF W4 P3,0,0.0,0.0,0.404,0,0.0,0.0,0,0.808,0.0,0.606,0.0,0.0,0.0
Black Hawk,CF W5 P1,0,0.404,0.0,0.606,0,0.0,0.606,0,0.404,0.0,0.606,0.0,0.0,0.0
Black Hawk,CF W5 P2,0,0.606,0.0,0.606,0,0.0,0.0,0,0.808,0.0,0.606,0.0,0.0,0.0
Black Hawk,CF W5 P3,0,0.606,0.0,0.606,0,0.0,0.0,0,0.404,0.0,0.606,0.0,0.0,0.0
Black Hawk,Cedar Orange,0,0.404,0.0,0.202,0,0.0,0.0,0,0.404,0.0,0.404,0.0,0.0,0.0
Black Hawk,Eagle,0,0.0,0.0,0.0,0,0.0,0.202,0,0.0,0.0,0.0,0.0,0.0,0.0
Black Hawk,Elk Run Heights & Raymond,0,0.0,0.0,0.404,0,0.0,0.404,0,0.404,0.0,0.202,0.0,0.0,0.0
Black Hawk,Evansdale W1,0,0.202,0.0,0.0,0,0.0,0.0,0,0.606,0.0,0.0,0.0,0.0,0.0
Black Hawk,Evansdale W2,0,0.0,0.0,0.404,0,0.0,0.0,0,0.202,0.0,0.0,0.0,0.0,0.0
Black Hawk,Evansdale W3,0,0.202,0.0,0.404,0,0.0,0.202,0,0.0,0.0,0.0,0.0,0.0,0.0
Black Hawk,Evansdale W4,0,0.202,0.0,0.202,0,0.0,0.0,0,0.202,0.0,0.202,0.0,0.0,0.0
Black Hawk,Mt Vernon,0,0.202,0.0,0.202,0,0.0,0.202,0,0.202,0.0,0.0,0.0,0.0,0.0
Black Hawk,Poyner P1 & East Wloo,0,0.202,0.0,0.202,0,0.0,0.0,0,0.202,0.0,0.0,0.0,0.0,0.0
Black Hawk,Poyner P2 Fox Gilbert Jesup,0,0.404,0.0,0.606,0,0.0,0.0,0,0.404,0.0,0.0,0.0,0.0,0.0
Black Hawk,Spring Creek,0,0.0,0.0,0.202,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Black Hawk,Union,0,0.202,0.0,0.202,0,0.0,0.202,0,0.0,0.0,0.0,0.0,0.0,0.0
