,,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted
Montgomery,Total,0,0.72,0.0,1.44,0,0.0,0.48,0,0.88,0.08,0.4,0.0,0.0,0.0
Muscatine,Total,0,4.3332,0.0,6.1668,0,0.0,1.8333,0,8.5001,0.0,3.667,0.3334,0.0,0.0
O'Brien,Total,0,0.8728,0.0,0.8001,0,0.0,0.7999,0,0.6545,0.2182,0.4364,0.0727,0.0,0.1455
Osceola,Total,0,0.5,0.0,0.9,0,0.0,0.6,0,0.4,0.0,0.6,0.0,0.0,0.0
Page,Total,0,0.88,0.0,1.84,0,0.0,1.12,0,1.68,0.0,0.48,0.0,0.0,0.0
Palo Alto,Total,0,1.6667,0.0,1.1666,0,0.0,0.7501,0,0.9167,0.0,0.5001,0.0,0.0,0.0
Plymouth,Total,0,2.25,0.0,2.475,0,0.0,0.9,0,2.025,0.0,0.9,0.225,0.0,0.225
Pocahontas,Total,0,0.66,0.0,1.02,0,0.0,0.66,0,0.3,0.0,0.24,0.12,0.0,0.0
Polk,Total,0,55.6802,0.0,102.9664,0,0.0,41.4104,0,106.8836,0.2798,82.541,0.2798,0.2798,0.8394
Pottawattamie,Total,0,6.6,0.0,12.0,0,0.0,5.28,0,12.72,0.24,9.0,2.16,0.0,0.0
Poweshiek,Total,0,0.56,0.0,1.82,0,0.0,2.1,0,5.04,0.0,3.92,0.0,0.0,0.56
Ringgold,Total,0,1.0125,0.0,0.75,0,0.0,0.5625,0,0.1875,0.0,0.4875,0.0,0.0,0.0
Sac,Total,0,0.5333,0.0,1.2002,0,0.0,0.7334,0,0.9334,0.0,0.5333,0.0667,0.0,0.0
Scott,Total,0,19.8395,0.0,33.8928,0,0.0,16.9463,0,34.7204,0.0,20.2524,0.8266,0.4133,0.0
Shelby,Total,0,0.75,0.0,1.55,0,0.0,1.1,0,0.75,0.0,0.85,0.0,0.0,0.0
Sioux,Total,0,0.7875,0.0,1.225,0,0.0,1.6625,0,1.3125,0.0,1.575,0.4375,0.0,0.0
Story,Total,0,2.905,0.0,14.94,0,0.0,17.015,0,24.485,0.415,20.75,2.075,0.0,0.415
Tama,Total,0,2.3293,0.0,2.9763,0,0.0,0.7764,0,3.2352,0.2588,1.1646,0.2588,0.0,0.0
Taylor,Total,0,0.6,0.0,0.9,0,0.0,0.4,0,0.5,0.0,0.4,0.2,0.0,0.0
Union,Total,0,0.75,0.0,1.575,0,0.0,0.75,0,1.95,0.0,0.825,0.15,0.0,0.0
Van Buren,Total,0,0.5,0.0,1.2,0,0.0,0.0,0,0.7,0.0,0.6,0.0,0.0,0.0
Wapello,Total,0,3.96,0.0,5.67,0,0.0,0.0,0,5.31,0.09,2.7,0.27,0.0,0.0
Warren,Total,0,5.133,0.0,11.8998,0,0.0,4.6665,0,5.8332,0.0,7.2333,0.0,0.0,0.0
Washington,Total,0,1.857,0.0,2.2284,0,0.0,2.4141,0,3.714,0.0,2.7855,0.0,0.0,0.0
