,,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted
Hancock,Total,0,0.8,0.0,1.7,0,0.0,1.2,0,0.8,0.0,0.4,0.0,0.0,0.0
Hardin,Total,0,1.584,0.0,2.088,0,0.0,1.44,0,1.08,0.0,1.224,0.0,0.0,0.0
Harrison,Total,0,1.2133,0.0,1.6799,0,0.0,0.9333,0,1.7732,0.0,0.7467,0.0,0.0,0.0
Henry,Total,0,1.6667,0.0,2.8,0,0.0,0.7333,0,2.2667,0.0,1.2,1.3333,0.0,0.0
Howard,Total,0,1.0001,0.0,1.7145,0,0.0,0.7144,0,0.8573,0.1429,0.2858,0.2858,0.0,0.0
Humboldt,Total,0,1.0668,0.0,1.0668,0,0.0,0.7112,0,0.3556,0.0,0.3556,0.0,0.0,0.0
Ida,Total,0,0.9,0.0,1.2,0,0.0,0.45,0,0.45,0.0,0.0,0.0,0.0,0.0
Iowa,Total,0,2.0,0.0,2.6,0,0.0,0.4,0,2.4,0.0,2.6,0.0,0.0,0.0
Jackson,Total,0,3.0854,0.0,3.7713,0,0.0,1.8857,0,1.3712,0.1714,1.5427,0.1714,0.0,0.0
Jasper,Total,0,4.485,0.0,7.015,0,0.0,1.495,0,4.6,0.23,2.99,0.575,0.0,0.0
Jefferson,Total,0,0.6546,0.0,1.5274,0,0.0,0.4364,0,5.6726,0.0,3.2727,0.0,0.0,0.2182
Johnson,Total,0,5.67,0.0,33.615,0,0.0,16.605,0,50.22,0.0,50.625,0.0,0.0,0.0
Jones,Total,0,2.4,0.0,3.52,0,0.0,1.92,0,2.56,0.0,1.12,0.0,0.0,0.0
Keokuk,Total,0,0.5715,0.0,1.143,0,0.1143,0.4572,0,0.9144,0.0,0.6858,0.1143,0.0,0.0
Kossuth,Total,0,2.1335,0.0,3.1115,0,0.0,1.6002,0,0.6223,0.0889,0.3556,0.0,0.0,0.0
Lee,Total,0,4.76,0.0,7.14,0,0.0,0.98,0,4.06,0.0,1.96,0.56,0.0,0.0
Linn,Total,0,27.2501,0.0,44.8319,0,0.0,19.3388,0,50.5468,0.0,38.2388,0.4395,0.0,0.0
Louisa,Total,0,1.0,0.0,0.7,0,0.0,0.4,0,1.2,0.0,1.0,0.7,0.0,0.0
