,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,First,Final,First & Final,SDE,Final & SDE,Full,Any
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas,VAN METER,1,30,0,32,0,0,27,0,22,0,17,13,0,2,0,34,0,40,0,0,35,0,27.0,0,7.0,1,0,0,0,0.4143,0.0,0.4143,0,0.0,0.4143,0,0.4143,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Dallas,WAUKEE 4,2,32,0,64,0,0,40,0,28,6,33,29,0,0,0,39,0,80,0,0,48,0,0.0,0,57.0,0,0,0,0,0.4143,0.0,0.8286,0,0.0,0.4143,0,0.0,0.0,0.4143,0.0,0.0,0.0,False,False,False,True,False,False,True
Dallas,WAUKEE 5,0,42,0,95,0,0,14,0,24,0,49,26,1,0,0,51,0,117,0,0,14,0,24.0,0,65.0,26,0,0,0,0.4143,0.0,0.8286,0,0.0,0.0,0,0.0,0.0,0.8286,0.0,0.0,0.0,False,False,False,True,False,False,True
Dallas,WEST DES MOINES 224,0,5,0,20,0,0,2,0,6,0,11,1,0,0,0,5,0,20,0,0,2,0,6.0,0,11.0,1,0,0,0,0.0,0.0,0.4143,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Davis,Central,0,10,0,8,0,0,10,0,3,0,7,0,0,0,0,10,0,8,0,0,10,0,0.0,0,10.0,0,0,0,0,0.12,0.0,0.12,0,0.0,0.12,0,0.0,0.0,0.12,0.0,0.0,0.0,False,True,False,True,False,False,True
Decatur,BU/HA/MO/NB/Davis City/Pleasanton,0,0,0,2,0,1,2,0,1,0,2,0,0,0,0,0,0,2,0,0,2,0,2.0,0,2.0,0,0,0,0,0.0,0.0,0.0471,0,0.0,0.0471,0,0.0471,0.0,0.0471,0.0,0.0,0.0,True,True,True,True,True,True,True
Decatur,DE/Decatur City,0,0,0,2,0,1,2,0,1,0,2,0,0,0,0,0,0,2,0,0,2,0,2.0,0,2.0,0,0,0,0,0.0,0.0,0.0471,0,0.0,0.0471,0,0.0471,0.0,0.0471,0.0,0.0,0.0,True,True,True,True,True,True,True
Delaware,Delaware,0,6,0,6,0,0,7,0,1,0,1,0,0,0,0,6,0,6,0,0,9,0,0.0,0,0.0,0,0,0,0,0.15,0.0,0.15,0,0.0,0.15,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Des Moines,PCT 3,0,35,0,80,0,0,50,0,56,0,45,29,0,0,0,0,0,95,0,0,73,0,67.0,0,55.0,0,0,0,0,0.0,0.0,0.72,0,0.0,0.36,0,0.36,0.0,0.36,0.0,0.0,0.0,True,False,False,False,False,False,True
Des Moines,PCT 7,0,39,0,43,0,0,19,0,49,3,25,3,0,1,0,42,0,54,0,0,0,0,50.0,0,30.0,0,0,6,0,0.36,0.0,0.72,0,0.0,0.0,0,0.72,0.0,0.36,0.0,0.0,0.0,False,False,False,True,False,False,True
